storename,location,lng,lat,score,special,img_url
阿胖特色龙虾(宁国南路总店),宁国南路与九华山路交叉口南100米(龙虾美食一条街),None,None,4.2,"夫妻肺片,烧烤,水煮鱼,烤鱼,狮子头,臭桂鱼,小龙虾,椒盐的,地瓜鸡,蒜香龙虾,龙虾,葱爆龙虾,烤扇贝，生蚝,烤深海扇贝,花甲,皮蛋瘦肉粥,香辣小龙虾,麻辣龙虾,特色烤鱼,黄山臭鳜鱼,香辣龙虾,印度飞饼,蒜泥小龙虾,酒酿汤圆,烤羊脆骨,精品麻辣龙虾,精品蒜香龙虾,椒盐味小龙虾,扇贝,五香飞饼",https://dimg08.c-ctrip.com/images/tg/258/273/205/5061389336b848f8a5ef585e206281b0_R_220_140.jpg
庐州太太(信地店),临泉路与全椒路交口信地广场步行街(近合肥晚报社),None,None,4.5,"铁板土豆片,蒸干炸肉,脆皮茄子,干锅有机花菜,浇汁锅巴,鹅肝鸡蛋盅,湘式剁椒鱼头,烤五花肉,重庆三味鱼,烤扇贝",https://dimg06.c-ctrip.com/images/100q0k000000cld12FDE3_R_220_140.jpg
时光记文化沙龙主题餐厅,祁门路与南屏路交口(天下锦城内),None,None,4.5,"蟹粉豆腐,烤肉,卡布奇诺,富贵鱼头,清酒味淋醉花螺,野生咸香大黄鱼,银萝靓汤,墨西哥烤鸭饼,浓汤时蔬锅,青菜烩豆饼,魔芋丝烧大肠,红烧萝卜丸,小煲一绝,飘香锅巴鱼片,羊排,牛仔骨,猪猪包,黄山臭鲑鱼,铁板韩式茄子,香菜茶干,生焗虾仁,麻的跳牛蛙,果味油条虾,水果沙拉",https://dimg02.c-ctrip.com/images/10030j000000ag4lz8920_R_220_140.jpg
糊世刺身(三里庵店),长江西路152号三河富贵楼西边,None,None,4.6,"鳗鱼饭,牛油果拌饭,蛋丝鳗鱼饭,豆皮海盗船寿司,土豆沙拉,泡菜汤,鳗鱼手卷,烤秋刀鱼,叉烧炒饭,厚切三文鱼,烤五花,牛肉寿喜锅,青龙刺身,芝士虾寿司,糊世卷,火炙鳗鱼寿司,烤鸡软骨串,招牌糊世卷,苹果酱鹅肝寿司,烤五花肉,北极贝,刺身拼盘",https://dimg05.c-ctrip.com/images/100i0j000000adblb3345_R_220_140.jpg
徽天下酒楼,皖江东路488号(近皖江东路与马鞍山南路交叉口),None,None,4.5,"油爆河虾,李鸿章大杂烩,泥鳅烩面,老鸡汤时蔬,皖北油茶汤,不倒翁萝卜皮,生态鱼头煲,颍州锅巴,不倒翁臭鳜鱼,不倒翁糯米骨,红焖牛腩锅仔,巢湖银鱼浦土鸡蛋,鲍汁芥菜鱼肚,手工水饺,油炸小黄鱼,酱猪手,荷塘月色,清蒸中华鲟,干锅茶树菇,广式烧鹅,秘制肥肠,麻油黄瓜,糯米骨,荷香糯米骨,贡菜肚丝,泥鳅下挂面",https://dimg06.c-ctrip.com/images/100v0w000000l2nhfF2F6_R_220_140.jpg
彼德西餐厅(华润万象城店),潜山路与习友路交叉口西北角华润万象城5层,None,None,4.7,"汉堡,牛油果奶昔,奥尔良鸡翅,凯撒牛柳卷,三文鱼炒通心粉,餐前薄饼,凯萨地亚配蘑菇,烤土豆,土豆泥,奶昔,吞拿鱼披萨,烤薯皮,覆盆子奶昔,塔可,汉堡披萨,法嘿塔,九层塔,巧克力核桃蛋糕,热巧克力蛋糕,巧克力薄荷奶昔,牛油果牛肉沙拉,新牛油果鸡肉沙拉",https://dimg02.c-ctrip.com/images/100o0j000000acxlu8205_R_220_140.jpg
Bopeye 80'波派炸鸡&啤酒(华润万象城店),潜山路与习友路交叉口西北角华润万象城B1层(天真蓝与肯德基对面),None,None,4.7,"原味炸鸡,双拼炸鸡,蒜蓉味炸鸡,特色双拼炸鸡,手工炸鸡,snapple思乐宝果汁饮料,炸鸡蘸料,芝士炸鸡,葱丝炸鸡,牛奶苏打,甜辣炸鸡,蜂蜜蒜蓉炸鸡,酱油味炸鸡,手指年糕,自选双拼,自选三拼,海鲜鱼饼,薯条四兄弟,Corona科罗娜,蔬菜沙拉,凯狮柠檬,橙色炸弹",https://dimg08.c-ctrip.com/images/100m0j000000acx14E953_R_220_140.jpg
秋の寿司,天鹅湖万达金街2楼4-228A,None,None,4.6,"鳗鱼饭,烤青花鱼,醋青鱼寿司,味增牛舌,黑鲷寿司,牡丹虾味增汤,鳗鱼骨海鲜拉面,鲜橙煮鳗鱼,土豆泥,北极贝刺身,芝麻八爪鱼,牛排饭,盐烤秋刀鱼,海胆刺身,鹅肝寿司,三文鱼籽刺身,鳗蒲烧,味增银鳕鱼,焗虾,煮海螺,照烧三文鱼排,黑鲷刺身",https://dimg06.c-ctrip.com/images/100e0j000000aek3u4F23_R_220_140.jpg
世纪金源大饭店汇景阁自助餐厅,徽州大道5558号世纪金源大饭店1楼汇景阁自助餐厅(徽州大道与福州路交口东北角),None,None,4.5,"烤牛排,海鲜,木瓜牛奶,刺身,寿司,三文鱼,烤羊排,大闸蟹,烤猪排,油煎,拿破仑蛋糕,哈根达斯,哈根达斯冰淇淋,牛肉沙拉,甜虾,甲鱼裙边,大虾天妇罗盖饭,海参拌饭,炸虾,鳕鱼,烤扇贝",https://dimg01.c-ctrip.com/images/100k0j000000adl701E38_R_220_140.jpg
鱼尊料理,曙光北路107号(中隐于市、屯溪路小学旁边),None,None,4.8,"海胆寿司,三文鱼色拉寿司,鳗鱼芝士卷8个/份,芒果芝士虾卷8个/份,蟹子虾卷8个/份,BBQ卷8个/份,趣鱼,鱼果交融,三文鱼寿司,芥末章鱼,三文鱼手卷,鲜虾天妇罗,土豆沙律,金针菇牛肉卷,猪软骨拉面,火炙鹅肝寿司,肥牛石锅饭,牛肉蔬菜卷,日式泡菜,蟹子土豆泥,石锅泡饭,三文鱼子寿司,三文鱼刺身,缤纷加州",https://dimg07.c-ctrip.com/images/100c0j000000afbzr408C_R_220_140.jpg
番茄多创意餐厅,曙光北路中隐于市文化创意街区内街2号(近屯溪路小学),None,None,4.6,"蘑菇鸡肉披萨,海洋披萨,意大利手工千层面,番茄多招牌披萨,炭烤猪扒,费城假期,口水金丝虾,卡真美式粗薯条,北海道鳗鱼寿司压饭,上品意大利披萨,脆虾凯撒沙拉,葡萄汁,美式薯条,招牌披萨,德式香肠,芝士海鲜焗饭,特色香肠,热橙汁,薄荷芦荟,鸡肉培根意面,龙利鱼,意大利肉酱面,凯撒沙拉,古典披萨",https://dimg03.c-ctrip.com/images/100v0j000000aekoyD017_R_220_140.jpg
千寿司,长江西路152号(近格林豪泰),None,None,4.6,"鳗鱼饭,三文鱼,克林顿,牛油果拌饭,油香鳄梨卷,海草,泡菜汤,土豆泥,咖喱猪排饭,芥末章鱼,李公主,甜虾刺身,鳗鱼龙卷,三文鱼芝士卷,火炙三文鱼,鹅肝寿司,甜虾握寿司,玛莎拉蒂,刺身拼盘,金枪鱼沙拉,三文鱼刺身",https://dimg03.c-ctrip.com/images/100m0j000000acwdd17B6_R_220_140.jpg
豆蔻餐厅·电影主题店(蒙城路华联店),蒙城北路濉溪路202号北京华联负一楼,None,None,4.4,"冒菜,疯狂的粉丝,名叫旺达的小黄鱼,心急吃不了热豆腐,漂亮的虾球,上海滩红烧肉,倔强的牛仔骨,里约大冒险,渔光曲沸腾鱼,蛮牛沙拉牛排,无间道蒸鱼头,跺椒鱼头，虾球,渔光曲水煮鱼,红糖麻糍,蛋黄鸡翅,虾球,高山娃娃菜,麦乳精,漂亮虾球,沸腾巴沙鱼,九品芝麻蛙,断背山排骨,有机花菜",https://dimg06.c-ctrip.com/images/100v0j000000aekp500BC_R_220_140.jpg
薄荷小院,宿州路55号3栋102室(解放电影院斜对面百纳女人街院内向前30米),None,None,4.7,"冰鲜谷饲菲力牛排配澳带,卡布奇诺,盆栽奶茶,薄荷盆栽奶茶,鳄梨芒果奶昔,薄荷盆栽冰激凌,薄荷盆栽奶,老板娘春日特调冰咖啡,蓝莓芝士蛋糕,手工饼干,奶油泡芙,彩虹芝士,蓝莓芝士,盆栽冰淇淋,冰美式,盆栽咖啡,抹茶黄桃,番茄肉酱意大利面,蓝莓芝士蛋,莓果金盏花拿铁,水果沙拉,芝士火腿蛋",https://dimg06.c-ctrip.com/images/10010j000000adtb01D2C_R_220_140.jpg
水乡人家土菜馆(三河古镇店),005县道三河古镇一级游客中心斜对面(旅游停车场向西50米),None,None,4.9,"粉蒸肉,麻婆豆腐,葱烤鲫鱼,三河小炒,槐花炒鸡蛋,农家锅巴,银鱼蒸蛋,米粉排骨,地皮炒韭菜,野生杂鱼锅,三河酥鸭元宝,汪丫鱼锅仔",https://dimg02.c-ctrip.com/images/100t170000011nicaB420_R_220_140.jpg
王品牛排(合肥银泰店),长江中路98号银泰中心7楼,None,None,4.6,"酸梅汤,面包,法式香煎鹅肝沙拉,酥皮海鲜清汤,意式鲜虾浓汤,酥皮玉米浓汤,台塑牛排,香煎鹅肝沙拉,牛小排清汤,烤面包,法式蘑菇浓汤,香颂玫瑰露,冰卡布奇诺,热浓浆巧克力拉瓦,皇家鲑鱼沙拉,蜜桃甜酒,酥烤牛小排,皇家牛排,翡翠南瓜汤,焗烤蘑菇佐青梅果醋沙拉,小牛菲力,凯撒沙拉,深海龙鳕",https://dimg06.c-ctrip.com/images/100f0j000000acviw721C_R_220_140.jpg
